statename,rank,countryid,val2013,val2014,val2015,val2016
Arkansas,17,Thailand,75.6,53.23,38.2,46.92
Arkansas,18,Netherlands,58.38,59.17,44.11,46.8
Arkansas,19,Pakistan,38.99,39.31,41.4,42.82
Arkansas,20,Spain,26.68,35.99,30.78,39.14
Arkansas,21,Finland,12.13,11.93,12.72,38.95
Arkansas,22,Sweden,60.78,72.19,59.29,33.18
Arkansas,23,Israel,29.85,67.66,34.74,32.12
Arkansas,24,Switzerland,4.7,20.22,43.13,28.83
Arkansas,25,Indonesia,29.86,29.25,32.35,27.78
California,0,World,381068.95,403808.04,408247.06,410182.75
California,0,Top 25,349880.78,372650.83,382588.65,383677.91
California,1,China,130447.51,137888.96,143619.74,144017.61
California,2,Mexico,36256.67,41339.39,45085.78,46349.31
California,3,Japan,38383.56,38303.53,38477.81,41335.34
California,4,Canada,26385.12,27908.14,27862.22,27784.56
California,5,Malaysia,11352.41,14055.19,16816.59,16472.78
California,6,"Korea, South",13044.21,14919.67,15390.17,14021.54
California,7,Taiwan,10930.56,12067.12,12525.59,12328.58
California,8,Germany,12993.28,12062.44,12706.4,11204.71
California,9,Vietnam,6710.84,8081.53,8833.97,10927.59
California,10,Thailand,9050.16,9415.9,10042.85,10078.75
California,11,United Kingdom,3045.84,3430.3,4561.84,5500.67
California,12,Indonesia,4920.11,4944.78,4687.69,4675.32
California,13,Saudi Arabia,8804.97,10686.52,6160.77,4251.41
California,14,Singapore,3919.36,3845.84,4185.03,4185.75
California,15,Italy,3041.24,3223.62,3652.03,4011.25
California,16,France,2958.54,3473.93,3629.25,3871.03
California,17,India,3365.11,4397.27,3855.63,3632.11
California,18,Ecuador,7355.05,5507.69,3733.81,3504.7
California,19,Philippines,3011.58,3599.24,3305.71,3409.07
California,20,Switzerland,2108.96,2199.57,2470.56,2705.08
California,21,Ireland,2615.41,2179.83,2382.4,2152.57
California,22,Colombia,2865.29,2987.38,2607.62,2144.18
California,23,Australia,1959.42,2051.58,1875.74,1814.68
California,24,Israel,1871.91,1900.22,1998.79,1779.5
California,25,Brazil,2483.7,2181.19,2120.66,1519.82
Colorado,0,World,12820.8,14260.39,13509.1,12225.47
Colorado,0,Top 25,12009.7,13570.93,12922.36,11599.4
Colorado,1,Canada,4034.3,4317.26,3210.53,2764.78
Colorado,2,China,1924.91,2273.5,2428.3,2260.67
Colorado,3,Mexico,1352.73,1737.62,1719.49,1572.88
Colorado,4,Germany,569.97,621.3,1083.15,699.4
Colorado,5,Switzerland,640.1,635.63,701.96,652.02
Colorado,6,"Korea, South",298.99,285.07,332.98,417.09
Colorado,7,Taiwan,196.63,194.93,218.17,415.33
Colorado,8,Australia,393.3,543.04,558.06,406
Colorado,9,France,171.93,210.07,300.26,232.91
Colorado,10,Italy,224.73,265.86,244.78,224.69
Colorado,11,United Kingdom,276.34,307.69,260.46,215.89
Colorado,12,India,376.42,311.46,214.31,209.37
Colorado,13,Japan,172.44,174.44,154.93,186.94
Colorado,14,Malaysia,195.1,142.05,100.74,160.23
Colorado,15,Denmark,82.07,169.32,181.6,152.83
Colorado,16,Vietnam,174.25,171.31,197.13,145.84
Colorado,17,Thailand,93.84,105.42,79.83,121.93
Colorado,18,Sweden,105.15,95.71,89.78,117.19
Colorado,19,Slovenia,97.45,131.67,129.98,110.5
Colorado,20,Spain,120.26,161.45,146.5,109.54
Colorado,21,Austria,193.1,173.26,168.53,108.96
Colorado,22,Netherlands,155.93,237.28,198.74,101.12
Colorado,23,Norway,59.68,184.35,107.91,86.02
Colorado,24,Philippines,62.08,74.99,56.32,80.08
Colorado,25,Israel,38,46.25,37.92,47.21
Connecticut,0,World,21563.73,23918.78,25967.88,21319.13
Connecticut,0,Top 25,18696.03,21424.49,23504.88,19447.9
Connecticut,1,Canada,3773.7,3504.33,3451.82,2902.09
Connecticut,2,United Kingdom,1465.97,1692.64,5550.85,2549.08
Connecticut,3,Mexico,1016.23,2576.77,2479.57,2493.32
Connecticut,4,China,2776.55,2985.85,3031.09,2307.16
Connecticut,5,Germany,1518.62,1857.62,1935.73,1446.24
Connecticut,6,Ireland,600.25,123.97,260.02,1152.68
Connecticut,7,Japan,1069.34,1091.5,945.39,846.13
Connecticut,8,France,911.27,765.4,660.43,641.7
Connecticut,9,Italy,495.29,546.93,537.65,566.05
Connecticut,10,Poland,545.12,532.54,585.41,541.2
Connecticut,11,Singapore,589.47,485.4,541.77,489.63
Connecticut,12,Netherlands,992.12,1603.24,482.71,467.2
Connecticut,13,Switzerland,407.15,478.79,436.64,399.53
Connecticut,14,Russia,154.52,519.74,234.25,373.12
Connecticut,15,Brazil,270.38,343.31,246.59,286.55
Connecticut,16,Israel,288.41,290.7,258.83,246.73
Connecticut,17,India,194.48,284.09,271.36,245.56
Connecticut,18,Taiwan,291.47,301.9,319.83,233.23
Connecticut,19,Belgium,205.01,242.69,251.42,212.66
Connecticut,20,"Korea, South",158.06,206.67,244.48,206.08
Connecticut,21,Vietnam,145.54,147.11,174.53,191.81
Connecticut,22,Turkey,163.33,136.93,128.66,187.91
Connecticut,23,South Africa,205.2,269.45,137.86,158.28
Connecticut,24,Sweden,296.92,283.74,182.94,153.78
Connecticut,25,Spain,161.62,153.18,155.05,150.19
Delaware,0,World,10132.24,10739.04,9234.3,7556.38
Delaware,0,Top 25,8806.28,9351.58,8443.73,6903.61
Delaware,1,United Kingdom,1013.08,688.53,979.6,1326.66
Delaware,2,Colombia,79.01,377.89,970.42,796.91
Delaware,3,France,743.81,949.37,1106.14,788.9
Delaware,4,Canada,1456.89,1839.33,780.07,437.79
Delaware,5,China,473.88,506.67,382.66,381.67
Delaware,6,Costa Rica,219.67,248.6,235.21,277.76
Delaware,7,Mexico,243.98,336.32,554.69,263.41
Delaware,8,Venezuela,25.01,136.99,0,246.07
Delaware,9,Germany,301.18,421.37,340.72,242.52
Delaware,10,Chile,198.22,247.31,180.07,193.74
Delaware,11,Belgium,1064.54,1720.76,1338.91,188.05
Delaware,12,Sweden,61.63,113.38,242.92,179.69
Delaware,13,Russia,1481.25,203.46,188.29,163.9
Delaware,14,Brazil,47.55,149.66,77.69,151.27
Delaware,15,Netherlands,288.93,190.02,146.88,148.29
Delaware,16,Iraq,178.01,278.92,18.06,136.1
Delaware,17,Switzerland,55.92,67.41,164.9,129.89
Delaware,18,Spain,22.44,64.31,96.1,124.5
Delaware,19,Guatemala,100.94,107.31,91.94,120.31
Delaware,20,Italy,94.41,120.32,82.18,111.99
Delaware,21,Nigeria,385.3,230.62,82.41,111.67
Delaware,22,Honduras,107.79,117.52,128.02,111.46
Delaware,23,Japan,90.31,90.28,100.35,98.27
Delaware,24,Taiwan,17.03,81.76,84.82,93.11
Delaware,25,Malaysia,55.49,63.44,70.67,79.68
District of Colombia,0,World,625.69,1104.97,913.06,486.78
District of Colombia,0,Top 25,538.18,908.22,785.81,457.19
District of Colombia,1,India,33.51,236.74,140.17,80.74
District of Colombia,2,Canada,133.65,55.72,54.97,68.2
District of Colombia,3,France,53.48,48.1,47.2,35.57
District of Colombia,4,Germany,54.6,125.17,59.37,35.43
District of Colombia,5,Japan,42.31,116.79,163.62,32.81
District of Colombia,6,China,21.05,29.13,27.32,28.1
District of Colombia,7,United Kingdom,52.38,93.94,125.32,27.97
District of Colombia,8,Italy,33.81,35.45,33.27,21.23
District of Colombia,9,Switzerland,5.56,13.99,5.34,17.49
District of Colombia,10,Argentina,11.99,18.96,22.25,17.23
District of Colombia,11,Netherlands,10.06,24.55,25.9,15.74
District of Colombia,12,Australia,4.52,7.95,13.91,14.9
District of Colombia,13,"Korea, South",12.13,9.61,14.99,12.35
District of Colombia,14,Mexico,14.18,9.78,7.05,9.1
District of Colombia,15,Sweden,3.94,3.92,5.67,7.82
District of Colombia,16,Spain,5.6,4.93,9.17,6.35
District of Colombia,17,Ireland,14.35,18.84,10.42,5.29
District of Colombia,18,Denmark,1.79,34.41,2.51,3.69
District of Colombia,19,Belgium,2.69,2.95,2.98,3.14
District of Colombia,20,Vietnam,1.45,1.55,3.16,3.1
District of Colombia,21,Norway,3.72,4.12,2.36,2.42
District of Colombia,22,Brazil,16.19,3.65,3.77,2.31
District of Colombia,23,Chile,1.49,1.3,1.55,2.14
District of Colombia,24,Thailand,1.88,4.79,1.84,2.05
District of Colombia,25,New Zealand,1.84,1.88,1.7,2.02
Florida,0,World,72258.29,71850.13,73409.78,73625.97
Florida,0,Top 25,57693.17,56316.8,59851.38,61317.75
Florida,1,China,11758.56,12266.24,11842.96,11903.06
Florida,2,Mexico,4845.89,4557.6,5557.68,5784.45
Florida,3,Canada,4250.86,3879.75,4237.31,4293.44
Florida,4,Germany,2107.56,2145.25,3990.48,4256.62
Florida,5,Japan,3798.03,2931.33,3275.29,3557.12
Florida,6,Brazil,3465.73,3075.31,3035.55,3274.66
Florida,7,France,2901.55,3369.62,3512.49,3268.32
Florida,8,Colombia,3030.89,2309.74,2311.79,2601.58
Florida,9,Vietnam,1403.23,1941.13,2530.01,2502.76
Florida,10,Chile,2359.67,2843.09,2097.39,1996.72
Florida,11,Italy,1507.69,1610.04,1916.46,1950.43
Florida,12,United Kingdom,2077.67,2065.26,2091.32,1911.25
Florida,13,"Korea, South",1384.99,1799.87,1909.15,1875.51
Florida,14,Peru,2436.41,857.77,1126.75,1530.52
Florida,15,India,891.51,1219.94,1144.11,1401.13
Florida,16,Switzerland,1116.13,959.37,1250.66,1171.43
Florida,17,Dominican Republic,966.09,1026.18,1149.67,1157.79
Florida,18,Honduras,770.43,982,966.94,1084.55
Florida,19,Taiwan,1002.33,912.59,1026.41,972.25
Florida,20,Spain,719.49,837.68,999.17,915.9
Florida,21,Ecuador,895.18,1524.48,1223.76,909.72
Florida,22,Guatemala,602.58,715.64,708.4,836.08
Florida,23,Costa Rica,2074.71,1429.33,697.47,800.09
Florida,24,Thailand,706.32,673.41,757.13,700.85
Florida,25,Argentina,619.68,384.15,493.06,661.53
Georgia,0,World,75023.08,83876.05,88692.31,86185.41
Georgia,0,Top 25,67571.03,75677.69,80644.37,78283.53
Georgia,1,China,17623.24,18697.14,19792.96,18505.22
Georgia,2,Germany,13343.27,17258.13,16391.65,13772.48
Georgia,3,Mexico,5303.08,6090.33,6278.26,6469.43
Georgia,4,"Korea, South",6175.46,6221.12,7347.8,6298.12
Georgia,5,Japan,4469.52,4353.58,4634.28,5074.1
Georgia,6,Canada,4106.15,5025.16,4211.94,3996.77
Georgia,7,United Kingdom,1897.32,2109.11,3557.48,3713.46
Georgia,8,India,1608.23,1846.68,2103.49,2119.71
Georgia,9,France,1543.34,1622.18,1859.31,2033.57
Georgia,10,Italy,1258.08,1508.6,1572.05,1701
Georgia,11,Taiwan,1103.8,1240.84,1446.4,1617.79
Georgia,12,Thailand,1218.65,1380.43,1369.61,1594
Georgia,13,Malaysia,780.75,744.98,832.87,1270.28
Georgia,14,Chile,868.2,464.65,924.33,1227.42
Georgia,15,Vietnam,960.05,1254.24,1352.68,1211.66
Georgia,16,Ireland,673.23,656.29,775.56,1067.81
Georgia,17,Belgium,400.75,568.62,848.08,1045.8
Georgia,18,Indonesia,694.74,868.46,1037.09,1007.65
Georgia,19,Austria,689.98,661.71,718.46,875.57
Georgia,20,Netherlands,795.59,902.48,816.23,778
Georgia,21,Brazil,617.72,725.18,698.25,632.42
Georgia,22,Switzerland,385.36,406.97,374.47,621.54
Georgia,23,Bangladesh,380.68,523.58,621.58,568.38
Georgia,24,Singapore,418.92,302.65,653.26,563.57
Georgia,25,Sweden,254.93,244.56,426.27,517.79
Hawaii,0,World,6097.34,5329.2,3755.95,2930.99
Hawaii,0,Top 25,5010.58,4873.9,3585.67,2829.05
Hawaii,1,Indonesia,810.1,785.27,816.42,696.8
Hawaii,2,Japan,437.85,316.83,310.92,376.89
Hawaii,3,Russia,534.65,0.02,477.03,282.39
Hawaii,4,China,298.94,262.15,278.74,242.61
Hawaii,5,Canada,139.61,255.29,265.38,229.52
Hawaii,6,"Korea, South",536.13,194.22,213.79,158.83
Hawaii,7,Libya,104.81,0,16.67,143.88
Hawaii,8,United Arab Emirates,0.15,633.59,33.73,116.67
Hawaii,9,Vietnam,537.82,445.71,192.87,83.68
Hawaii,10,Malaysia,36.73,15.4,19.39,78.81
Hawaii,11,Taiwan,44.77,45.85,50.88,50.87
Hawaii,12,Italy,43.35,42.52,38.15,49.44
Hawaii,13,Argentina,265.17,530.56,131.56,44.18
Hawaii,14,Australia,56.77,25.43,29.73,40.63
Hawaii,15,Thailand,364.49,290.75,37.84,39.01
Hawaii,16,Philippines,29.02,27.28,28.02,27.64
Hawaii,17,New Zealand,31.9,31.22,26.78,25.27
Hawaii,18,Germany,30.6,30.78,31.89,25.18
Hawaii,19,Netherlands,24.94,18.98,18.94,24.62
Hawaii,20,France,605.92,663.83,387.52,22.54
Hawaii,21,Switzerland,35.31,32.27,17.07,19.16
Hawaii,22,United Kingdom,29.74,35.55,31.75,15.07
Hawaii,23,Spain,2.15,13.06,10.51,13.01
Hawaii,24,Mexico,9.65,97.5,8.65,11.7
Hawaii,25,Nigeria,0,79.82,111.43,10.63
Idaho,0,World,5544.76,5695.6,5165.62,4493.92
Idaho,0,Top 25,5405.2,5529.51,5023.62,4355.88
Idaho,1,China,1099.75,1499.23,1582.95,1420.24
Idaho,2,Canada,1018.51,882.26,912.23,998.81
Idaho,3,Singapore,774.24,594.85,503.95,407.69
Idaho,4,Taiwan,952.53,1033.52,841.81,381.51
Idaho,5,Japan,365.83,536.18,431.46,327.4
Idaho,6,Mexico,74.24,97.64,137.57,115.27
Idaho,7,"Korea, South",452.62,329.4,178.28,114.07
Idaho,8,Malaysia,13.43,16.62,42.85,111.38
Idaho,9,Germany,98.32,64.14,63.54,79.93
Idaho,10,Switzerland,5.97,6.5,4.64,43.8
Idaho,11,Greece,71.12,60.14,42.08,36.55
Idaho,12,Thailand,6.47,8.83,15.94,35.05
Idaho,13,Italy,216.46,153.05,25.64,29.66
Idaho,14,New Zealand,54.02,36.47,28.81,28.87
Idaho,15,Australia,24.63,6.49,15.51,28.64
Idaho,16,Vietnam,21.53,29.4,31.98,28.61
Idaho,17,Israel,46.54,56.35,31.21,22.93
Idaho,18,France,24.29,17.74,42.93,22.39
Idaho,19,Cyprus,12.7,24.4,4.11,22.26
Idaho,20,United Kingdom,28.84,39.15,27.64,20.47
Idaho,21,Indonesia,16.55,7.5,11.13,19.41
Idaho,22,Netherlands,18.43,16.03,27.51,18.35
Idaho,23,Oman,0.27,0.05,0.02,15.17
Idaho,24,Ireland,0.56,1.59,7.03,13.88
Idaho,25,Chile,7.34,11.98,12.81,13.55
Illinois,0,World,124766.21,140362.57,121292.73,121529.42
Illinois,0,Top 25,117727.75,132737.41,114547.98,115042.66
Illinois,1,China,25784.32,29503.95,31235.91,30218.3
Illinois,2,Canada,39880.1,45487.23,29625.64,25316.87
Illinois,3,Mexico,11675.48,13442.43,13233.05,11726.6
Illinois,4,Japan,7925.49,7697.16,7100.77,9824.68
Illinois,5,"Korea, South",4609.51,5092.78,4067.89,5818.44
Illinois,6,Germany,4928.28,5378.77,4577.47,4977.39
Illinois,7,Vietnam,1362.5,2318.18,2690.21,2796.35
Illinois,8,United Kingdom,1843.03,2005.69,1901.43,2590.12
Illinois,9,Italy,1498.9,1670.89,1785.56,2158.85
Illinois,10,Taiwan,2182.35,2156.82,2223.84,2151.3
Illinois,11,Singapore,868.46,877.45,833.76,1994.62
Illinois,12,France,1343.14,1346.48,1302.13,1691.25
Illinois,13,Switzerland,3173.69,2825.32,1123.95,1686.49
Illinois,14,Malaysia,1721.11,1725.17,1645.14,1546.57
Illinois,15,Brazil,742.61,1816.01,1781.75,1531.49
Illinois,16,India,1192.53,1367.82,1415.81,1422.01
Illinois,17,Ireland,610.49,1802.52,1984.54,1265.77
Illinois,18,Belgium,572.3,544.32,479.17,1175.73
Illinois,19,Thailand,1002.76,1199.24,1172.07,1086.39
Illinois,20,Australia,578.08,787.2,993.97,955.45
Illinois,21,Netherlands,1706.3,931.79,927.73,745.27
Illinois,22,Indonesia,729.16,930.21,823.11,731.31
Illinois,23,Israel,567.68,574.28,421.05,546.39
Illinois,24,Spain,769.95,714.47,617.05,543.07
Illinois,25,New Zealand,459.54,541.23,584.99,541.93
Indiana,0,World,45677.67,48901.64,49076.75,49536.71
Indiana,0,Top 25,44010.28,47082.71,47454.98,48026.69
Indiana,1,Ireland,6807.41,6570.2,5853.96,8398.72
Indiana,2,China,6795.11,7720.8,8326.96,7885.54
Indiana,3,Canada,7789.11,8150.64,7882.57,7277.43
Indiana,4,Mexico,3966.77,5140.19,5267.9,4491.22
Indiana,5,Japan,4971.95,4965.05,4375.64,3926.47
Indiana,6,Denmark,2549.43,3022.92,3305.96,3256.24
Indiana,7,Germany,2369.31,2170.93,2505.57,2529.9
Indiana,8,France,1324.33,1336.01,1543.75,1903.6
Indiana,9,Switzerland,1504.89,1316.7,1189.64,1275.47
Indiana,10,United Kingdom,1037.19,914.82,970.25,1199.33
Indiana,11,Taiwan,579.05,692.04,767.7,682.01
Indiana,12,Vietnam,366.68,506.59,670.75,673.52
Indiana,13,Italy,609.37,688.82,616.86,562.07
Indiana,14,"Korea, South",323.18,319.97,335.48,547.13
Indiana,15,Brazil,693.02,836.35,1041.85,498.73
Indiana,16,Thailand,526.74,603.76,507.01,458.3
Indiana,17,Indonesia,167.92,362.31,462.81,412.1
Indiana,18,Netherlands,453.25,477.23,403.16,404.97
Indiana,19,India,393.05,428.47,405.35,384.74
Indiana,20,Philippines,78.71,194.43,257.16,290.2
Indiana,21,Spain,96.85,109.22,182.9,239.54
Indiana,22,Malaysia,202.12,162.82,168.46,191.48
Indiana,23,Austria,167.87,197.1,203.1,187.88
Indiana,24,Honduras,189.67,167.43,198.5,181.59
Indiana,25,Argentina,47.3,27.92,11.69,168.51
Iowa,0,World,9570.13,10087.42,9363.11,8233.91
Iowa,0,Top 25,9240,9764.51,9013.06,7899.74
Iowa,1,Canada,3379.55,3367.07,2749.09,2449.39
Iowa,2,China,1354.17,1415.61,1511.28,1398
Iowa,3,Mexico,1470.74,1728.08,1612.08,1152.1
Iowa,4,Germany,680.91,756.97,596.62,567.32
Iowa,5,Japan,290.18,278.15,382.4,466.71
Iowa,6,Italy,305.7,327.62,284.75,243.91
Iowa,7,India,133.98,151.49,165.81,204.89
Iowa,8,Taiwan,178.75,177.29,185.09,165.79
Iowa,9,France,178.01,170.71,190.7,148.6
Iowa,10,United Kingdom,113.43,121.67,140.64,136.38
Iowa,11,Brazil,125.17,131.22,119.67,104.09
Iowa,12,Netherlands,81.23,92.43,99.6,97.8
Iowa,13,"Korea, South",144.36,158.61,130.88,94.54
Iowa,14,Israel,66.78,93.79,91.42,88.21
Iowa,15,Spain,92.98,156.94,167.94,75.86
Iowa,16,Switzerland,41.37,65.82,62.62,75.41
Iowa,17,Vietnam,44.19,63.71,73.88,69.85
Iowa,18,Poland,77.49,82.5,72.52,61.85
Iowa,19,Denmark,75.16,83.65,79.35,56.57
Iowa,20,Chile,141.03,96.6,39.95,53.13
Iowa,21,Austria,100.67,88.57,96.33,52.91
Iowa,22,Indonesia,19.3,29.22,41.61,36.47
Iowa,23,Belgium,38.63,38.4,38.83,36
Iowa,24,Thailand,49.57,58.63,45.62,34.62
Iowa,25,Argentina,56.65,29.76,34.36,29.33
Kansas,0,World,10756.38,11809.34,11773.44,11157.31
Kansas,0,Top 25,9921.58,10769.88,10900.42,10485.07
Kansas,1,China,2115.18,2353.95,2625.48,2364.48
Kansas,2,Canada,1709.05,1711.31,1594.63,1629.35
Kansas,3,Taiwan,1040.37,1157.19,1065.59,924.17
Kansas,4,Germany,757.62,745.1,915.09,904.2
Kansas,5,Mexico,962.28,966.17,1019.85,815.98
Kansas,6,United Kingdom,377.04,441.88,542.23,492.37
Kansas,7,Vietnam,300.44,343.86,370.61,456.04
Kansas,8,Japan,192.98,210.73,426.87,384.79
Kansas,9,France,205.7,242.68,226.91,309.25
Kansas,10,"Korea, South",263.03,277.34,279.43,256.49
Kansas,11,Brazil,194.04,206.01,223.02,248.03
Kansas,12,Australia,268.37,314.56,273.96,241.8
Kansas,13,Indonesia,142.61,145.68,165.13,182.61
Kansas,14,Italy,511.72,610.31,164.08,171.11
Kansas,15,Malaysia,118.48,130.85,122.34,154.3
Kansas,16,Singapore,94.8,103.77,157.03,151.14
Kansas,17,Spain,68.35,84.88,54.82,128.92
Kansas,18,Turkey,92.28,96.67,111.98,107.3
Kansas,19,India,69.15,95.6,82.71,99.26
Kansas,20,Sweden,104.33,111.65,97.96,91.07
Kansas,21,Israel,71.94,80.2,81.35,83.65
Kansas,22,Denmark,138.09,205,120.48,79.26
Kansas,23,Netherlands,62.74,69.34,61.92,76.77
Kansas,24,Czech Republic,35.72,35.39,46.26,68.82
Kansas,25,Philippines,25.24,29.76,70.7,63.9
Kentucky,0,World,37859.69,39352.92,38658.44,40001.59
Kentucky,0,Top 25,35056.64,36571.8,36650.64,37935.78
Kentucky,1,China,6639.59,6873.29,6059.24,5893.38
Kentucky,2,Mexico,4977.14,5511.86,6089.3,5197.07
Kentucky,3,Japan,4925.68,5005.6,4847.56,5129.39
Kentucky,4,Canada,4014.26,4039,3716.12,3469.52
Kentucky,5,Germany,2047.99,2182.97,2015.35,2545.19
Kentucky,6,France,1692.95,1861.99,2243.1,2373.68
Kentucky,7,Switzerland,1200.36,1499.65,1303.22,1937.37
Kentucky,8,India,859.09,845.79,1176.64,1913.14
Kentucky,9,Italy,1629.33,1375.74,1496.57,1372.72
Kentucky,10,Belgium,151.76,530.23,1067.84,1368.92
Kentucky,11,United Kingdom,1134,1173.12,1160.88,1335.42
Kentucky,12,"Korea, South",842.72,731.49,820.53,871.43
Kentucky,13,Ireland,531.91,547.89,477.29,685.18
Kentucky,14,Taiwan,478.53,447.3,567.4,616.25
Kentucky,15,Vietnam,417.13,446.62,513.21,460.73
Kentucky,16,Austria,256.66,332.06,432.39,450.98
Kentucky,17,Netherlands,339.14,281.32,278.1,352.31
Kentucky,18,Indonesia,398.23,336.24,300.3,288.74
Kentucky,19,Philippines,490.9,407.99,328.76,272.78
